,Class,Symbol
0,http://emmo.info/emmo/middle/units-extension#EMMO_e29f84db_4c1c_46ae_aa38_c4d47536b972,eV
1,http://emmo.info/emmo/middle/units-extension#EMMO_21ef2ed6_c086_4d24_8a75_980d2bcc9282,h
2,http://emmo.info/emmo/middle/siunits#EMMO_314ba716_2d3d_4462_9a4f_d3419ae1df43,s
3,http://emmo.info/emmo/middle/siunits#EMMO_a979c531_f9fa_4a6e_93c1_a2960241ca64,N
4,http://emmo.info/emmo/middle/siunits#EMMO_00199e76_69dc_45b6_a9c6_98cc90cdc0f5,Gy
5,http://emmo.info/emmo/middle/siunits#EMMO_a121bb1d_5225_4c78_809b_0268c3012208,rad
6,http://emmo.info/emmo/middle/siunits#EMMO_da1dd4a7_c611_4ad4_bef6_7646f28aa598,lx
7,http://emmo.info/emmo/middle/siunits#EMMO_dc232f53_8ed8_4ddd_9f41_cc057985eadb,Sv
8,http://emmo.info/emmo/middle/siunits#EMMO_9bfd6f1e_b0ce_459c_beb7_8f1f41708bba,kg
9,http://emmo.info/emmo/middle/siunits#EMMO_b71e4ba5_8f73_4199_8c96_7ea7f94d9e2a,Bq
10,http://emmo.info/emmo/middle/units-extension#EMMO_b8830065_3809_41b7_be3c_e33795567fd9,°
11,http://emmo.info/emmo/middle/siunits#EMMO_080052a1_f295_44be_a60f_1326ce13f1ba,W
12,http://emmo.info/emmo/middle/siunits#EMMO_a9201b2f_e6de_442a_b3a6_d292a5820bc5,F
13,http://emmo.info/emmo/middle/siunits#EMMO_696ed548_9477_45ea_993c_6a8f5271914a,C
14,http://emmo.info/emmo/middle/units-extension#EMMO_a155dc93_d266_487e_b5e7_2a2c72d5ebf9,l
15,http://emmo.info/emmo/middle/siunits#EMMO_8a70dea4_d6ab_4260_b931_a3e990982416,J
16,http://emmo.info/emmo/middle/siunits#EMMO_59c10c5c_47bd_4348_ba39_38836607dfa1,Ω
17,http://emmo.info/emmo/middle/siunits#EMMO_a80dc6f5_b1aa_41a7_a3a8_cd5040da2162,Pa
18,http://emmo.info/emmo/middle/units-extension#EMMO_6c7160fc_cc64_46f0_b43b_aba65e9952e3,B
19,http://emmo.info/emmo/middle/units-extension#EMMO_f992dc76_f9a6_45f6_8873_c8e20d16fbbe,g
20,http://emmo.info/emmo/middle/units-extension#EMMO_b41515a9_28d8_4d78_8165_74b2fc72f89e,Np
21,http://emmo.info/emmo/middle/siunits#EMMO_cf3dd6cc_c5d6_4b3d_aef4_82f3b7a361af,sr
22,http://emmo.info/emmo/middle/units-extension#EMMO_d6eb0176_a0d7_4b4e_8df0_50e912be2342,ha
23,http://emmo.info/emmo/middle/siunits#EMMO_b20be325_8bfd_4237_bee7_201ab0fd9c75,°C
24,http://emmo.info/emmo/middle/siunits#EMMO_db5dd38d_ac79_4af6_8782_fee7e7150ae8,A
25,http://emmo.info/emmo/middle/siunits#EMMO_7db11dbf_a643_464a_9b56_07eabcc3e9c5,m
26,http://emmo.info/emmo/middle/siunits#EMMO_f2523820_04a6_44ab_bb67_8237dda2b0c2,S
27,http://emmo.info/emmo/middle/siunits#EMMO_df6eeb01_1b41_4bd8_9257_a04fbd7cf000,mol
28,http://emmo.info/emmo/middle/siunits#EMMO_fab003c8_f7a6_4346_9988_7161325ed7a3,H
29,http://emmo.info/emmo/middle/units-extension#EMMO_6a4547ab_3abb_430d_b81b_ce32d47729f5,″
30,http://emmo.info/emmo/middle/siunits#EMMO_d7b7fd1e_645a_42cb_8f40_85f0d034d3ae,lm
31,http://emmo.info/emmo/middle/siunits#EMMO_d7f11b34_a121_4519_87c0_aa754f1c4737,Wb
32,http://emmo.info/emmo/middle/units-extension#EMMO_053648ea_3c0a_468c_89cb_eb009239323a,au
33,http://emmo.info/emmo/middle/siunits#EMMO_33b67e69_3645_4c73_b100_5ea6759221b4,kat
34,http://emmo.info/emmo/middle/siunits#EMMO_e2207e91_02b0_4a8a_b13e_61d2a2a839f1,V
35,http://emmo.info/emmo/middle/units-extension#EMMO_f8b92999_3cde_46e3_99d5_664da3090a02,t
36,http://emmo.info/emmo/middle/units-extension#EMMO_1e0b665d_db6c_4752_a6d4_262d3a8dbb46,′
37,http://emmo.info/emmo/middle/units-extension#EMMO_27c530c4_dfcd_486e_b324_54ad4448cd26,Å
38,http://emmo.info/emmo/middle/units-extension#EMMO_00dd79e0_31a6_427e_9b9c_90f3097e4a96,Da
39,http://emmo.info/emmo/middle/siunits#EMMO_acb50123_87a2_4753_b36c_f87114ad4de2,T
40,http://emmo.info/emmo/middle/siunits#EMMO_8d00f093_3f45_4ea3_986c_b3545c3c2f4c,cd
41,http://emmo.info/emmo/middle/siunits#EMMO_2e5e45fc_f52c_4294_bdc2_5ed7a06dfce7,K
42,http://emmo.info/emmo/middle/units-extension#EMMO_28ef05a7_ecc1_4df6_8116_c53251fbd4a8,d
43,http://emmo.info/emmo/middle/units-extension#EMMO_cabb20f0_05c7_448f_9485_e129725f15a4,min
44,http://emmo.info/emmo/middle/siunits#EMMO_e75f580e_52bf_4dd5_af70_df409cec08fd,Hz
